class_number,grade,Coding,Math,Teamwork,activity,등급
s1304,2.454545454545454,2.611111111111111,1.75,0.0,2.454545454545454,Bronze
s1305,2.0,1.7777777777777783,3.5,2.5,2.0,Bronze
s1306,3.1666666666666665,3.111111111111111,3.25,3.5,3.1666666666666665,Silver
s1307,4.0,3.6428571428571437,0.0,4.5,4.0,Bronze
s1308,3.4444444444444438,3.5,3.0,0.0,3.4444444444444438,Bronze
s1309,2.833333333333333,2.916666666666667,2.75,2.5,2.833333333333333,Bronze
s131,3.222222222222222,3.28125,2.0,3.5,3.222222222222222,Bronze
s1310,2.0909090909090904,2.055555555555556,1.0,3.5,2.0909090909090904,Bronze
s1311,2.0714285714285716,1.625,2.5,3.0,2.0714285714285716,Bronze
s1312,2.777777777777778,2.75,2.75,3.0,2.777777777777778,Bronze
s1313,2.7083333333333326,2.7083333333333326,0.0,0.0,2.7083333333333326,Bronze
s1314,2.454545454545454,2.714285714285715,0.0,3.0,2.454545454545454,Bronze
s1315,2.727272727272727,3.1875,0.0,3.0,2.727272727272727,Bronze
s1316,3.3999999999999995,3.75,0.0,4.0,3.3999999999999995,Bronze
s1317,3.0416666666666665,3.6428571428571437,0.0,3.5,3.0416666666666665,Bronze
s1318,2.75,3.055555555555556,0.0,3.0,2.75,Bronze
s1319,2.9166666666666665,2.8000000000000003,3.5,0.0,2.9166666666666665,Bronze
s132,2.975000000000001,3.1111111111111125,2.5,4.5,2.975000000000001,Silver
s1320,2.0,1.7,3.5,0.0,2.0,Bronze
s1321,2.8999999999999995,2.944444444444444,2.5,0.0,2.8999999999999995,Bronze
s1322,3.590909090909091,3.590909090909091,0.0,0.0,3.590909090909091,Bronze
s1323,2.222222222222222,2.3125,1.5,0.0,2.222222222222222,Bronze
s1324,2.5909090909090904,2.5909090909090904,0.0,0.0,2.5909090909090904,Bronze
s1325,3.388888888888889,3.5714285714285716,2.75,0.0,3.388888888888889,Bronze
s1326,1.5,1.25,1.75,0.0,1.5,Bronze
s1327,3.4166666666666665,3.25,3.5,4.0,3.4166666666666665,Silver
s1328,3.8333333333333335,4.0,0.0,3.5,3.8333333333333335,Bronze
s1329,3.3333333333333335,3.25,0.0,3.5,3.3333333333333335,Bronze
s133,3.540000000000001,3.6818181818181825,0.0,3.75,3.540000000000001,Bronze
s1330,4.5,4.5,0.0,4.5,4.5,Platinum
s1331,3.0,3.071428571428572,0.0,2.5,3.0,Bronze
s1332,2.4285714285714284,2.4,1.5,3.5,2.4285714285714284,Bronze
s1333,3.0,3.0,0.0,3.0,3.0,Bronze
s1334,3.227272727272727,3.277777777777778,3.5,2.5,3.227272727272727,Silver
s1335,3.6818181818181803,3.666666666666666,3.0,4.5,3.6818181818181803,Gold
s1336,3.3333333333333335,3.1,0.0,4.5,3.3333333333333335,Bronze
s1337,3.3333333333333335,3.277777777777778,3.5,3.5,3.3333333333333335,Silver
s1338,3.0,3.25,0.0,2.5,3.0,Bronze
s1339,3.0,3.0,0.0,0.0,3.0,Bronze
s134,3.7037037037037055,4.075000000000002,3.666666666666668,3.75,3.7037037037037055,Platinum
s1340,3.8333333333333335,3.5,0.0,4.5,3.8333333333333335,Bronze
s1341,4.0,4.1000000000000005,4.0,3.5,4.0,Gold
s1342,4.2272727272727275,4.1875,4.25,4.5,4.2272727272727275,Dia
s1343,3.6666666666666665,3.75,0.0,3.5,3.6666666666666665,Bronze
s1344,3.0,3.0,0.0,3.0,3.0,Bronze
s1345,3.0,3.25,0.0,2.5,3.0,Bronze
s1346,2.75,3.0,0.0,2.5,2.75,Bronze
s1347,0.0,0.0,0.0,0.0,0.0,Bronze
